,datetime,y,client,close,price_am,price_pm,year,month,day,Weekday,holidays
0,2010-07-01,17,0,0,-1,-1,2010,7,1,Thursday,0
1,2010-07-02,18,0,0,-1,-1,2010,7,2,Friday,0
2,2010-07-03,20,0,0,-1,-1,2010,7,3,Saturday,0
3,2010-07-04,20,0,0,-1,-1,2010,7,4,Sunday,0
4,2010-07-05,14,0,0,-1,-1,2010,7,5,Monday,0
5,2010-07-06,14,0,0,-1,-1,2010,7,6,Tuesday,0
6,2010-07-07,4,0,0,-1,-1,2010,7,7,Wednesday,0
7,2010-07-08,10,0,0,-1,-1,2010,7,8,Thursday,0
8,2010-07-09,12,0,0,-1,-1,2010,7,9,Friday,0
9,2010-07-10,21,0,0,-1,-1,2010,7,10,Saturday,0
10,2010-07-11,15,0,0,-1,-1,2010,7,11,Sunday,0
11,2010-07-12,11,0,0,-1,-1,2010,7,12,Monday,0
12,2010-07-13,8,0,0,-1,-1,2010,7,13,Tuesday,0
13,2010-07-14,13,0,0,-1,-1,2010,7,14,Wednesday,0
14,2010-07-15,8,0,0,-1,-1,2010,7,15,Thursday,0
15,2010-07-16,16,0,0,-1,-1,2010,7,16,Friday,0
16,2010-07-17,23,0,0,-1,-1,2010,7,17,Saturday,0
17,2010-07-18,25,0,0,-1,-1,2010,7,18,Sunday,0
18,2010-07-19,18,0,0,-1,-1,2010,7,19,Monday,1
19,2010-07-20,21,0,0,-1,-1,2010,7,20,Tuesday,0
20,2010-07-21,9,0,0,-1,-1,2010,7,21,Wednesday,0
21,2010-07-22,8,0,0,-1,-1,2010,7,22,Thursday,0
22,2010-07-23,12,0,0,-1,-1,2010,7,23,Friday,0
23,2010-07-24,23,0,0,-1,-1,2010,7,24,Saturday,0
24,2010-07-25,18,0,0,-1,-1,2010,7,25,Sunday,0
25,2010-07-26,18,0,0,-1,-1,2010,7,26,Monday,0
26,2010-07-27,14,0,0,-1,-1,2010,7,27,Tuesday,0
27,2010-07-28,18,0,0,-1,-1,2010,7,28,Wednesday,0
28,2010-07-29,19,0,0,-1,-1,2010,7,29,Thursday,0
29,2010-07-30,15,0,0,-1,-1,2010,7,30,Friday,0
30,2010-07-31,18,0,0,-1,-1,2010,7,31,Saturday,0
31,2010-08-01,20,0,0,-1,-1,2010,8,1,Sunday,0
32,2010-08-02,17,0,0,-1,-1,2010,8,2,Monday,0
33,2010-08-03,15,0,0,-1,-1,2010,8,3,Tuesday,0
34,2010-08-04,14,0,0,-1,-1,2010,8,4,Wednesday,0
35,2010-08-05,15,0,0,-1,-1,2010,8,5,Thursday,0
36,2010-08-06,17,0,0,-1,-1,2010,8,6,Friday,0
37,2010-08-07,18,0,0,-1,-1,2010,8,7,Saturday,0
38,2010-08-08,20,0,0,-1,-1,2010,8,8,Sunday,0
39,2010-08-09,11,0,0,-1,-1,2010,8,9,Monday,0
40,2010-08-10,13,0,0,-1,-1,2010,8,10,Tuesday,0
41,2010-08-11,15,0,0,-1,-1,2010,8,11,Wednesday,0
42,2010-08-12,15,0,0,-1,-1,2010,8,12,Thursday,0
43,2010-08-13,15,0,0,-1,-1,2010,8,13,Friday,0
44,2010-08-14,18,0,0,-1,-1,2010,8,14,Saturday,0
45,2010-08-15,12,0,0,-1,-1,2010,8,15,Sunday,0
46,2010-08-16,18,0,0,-1,-1,2010,8,16,Monday,0
47,2010-08-17,15,0,0,-1,-1,2010,8,17,Tuesday,0
48,2010-08-18,0,0,0,-1,-1,2010,8,18,Wednesday,0
49,2010-08-19,17,0,0,-1,-1,2010,8,19,Thursday,0
50,2010-08-20,15,0,0,-1,-1,2010,8,20,Friday,0
51,2010-08-21,19,0,0,-1,-1,2010,8,21,Saturday,0
52,2010-08-22,18,0,0,-1,-1,2010,8,22,Sunday,0
53,2010-08-23,19,0,0,-1,-1,2010,8,23,Monday,0
54,2010-08-24,11,0,0,-1,-1,2010,8,24,Tuesday,0
55,2010-08-25,13,0,0,-1,-1,2010,8,25,Wednesday,0
56,2010-08-26,20,0,0,-1,-1,2010,8,26,Thursday,0
57,2010-08-27,20,0,0,-1,-1,2010,8,27,Friday,0
58,2010-08-28,27,0,0,-1,-1,2010,8,28,Saturday,0
59,2010-08-29,23,0,0,-1,-1,2010,8,29,Sunday,0
60,2010-08-30,24,0,0,-1,-1,2010,8,30,Monday,0
61,2010-08-31,18,0,0,-1,-1,2010,8,31,Tuesday,0
62,2010-09-01,19,0,0,-1,-1,2010,9,1,Wednesday,0
63,2010-09-02,16,0,0,-1,-1,2010,9,2,Thursday,0
64,2010-09-03,13,0,0,-1,-1,2010,9,3,Friday,0
65,2010-09-04,15,0,0,-1,-1,2010,9,4,Saturday,0
66,2010-09-05,21,0,0,-1,-1,2010,9,5,Sunday,0
67,2010-09-06,11,0,0,-1,-1,2010,9,6,Monday,0
68,2010-09-07,19,0,0,-1,-1,2010,9,7,Tuesday,0
69,2010-09-08,9,0,0,-1,-1,2010,9,8,Wednesday,0
70,2010-09-09,4,0,0,-1,-1,2010,9,9,Thursday,0
71,2010-09-10,9,0,0,-1,-1,2010,9,10,Friday,0
72,2010-09-11,13,0,0,-1,-1,2010,9,11,Saturday,0
73,2010-09-12,12,0,0,-1,-1,2010,9,12,Sunday,0
74,2010-09-13,11,0,0,-1,-1,2010,9,13,Monday,0
75,2010-09-14,10,0,0,-1,-1,2010,9,14,Tuesday,0
76,2010-09-15,14,0,0,-1,-1,2010,9,15,Wednesday,0
77,2010-09-16,7,0,0,-1,-1,2010,9,16,Thursday,0
78,2010-09-17,19,0,0,-1,-1,2010,9,17,Friday,0
79,2010-09-18,19,0,0,-1,-1,2010,9,18,Saturday,0
80,2010-09-19,13,0,0,-1,-1,2010,9,19,Sunday,0
81,2010-09-20,16,0,0,-1,-1,2010,9,20,Monday,1
82,2010-09-21,18,0,0,-1,-1,2010,9,21,Tuesday,0
83,2010-09-22,12,0,0,-1,-1,2010,9,22,Wednesday,0
84,2010-09-23,32,0,0,-1,-1,2010,9,23,Thursday,1
85,2010-09-24,30,0,0,-1,-1,2010,9,24,Friday,0
86,2010-09-25,24,0,0,-1,-1,2010,9,25,Saturday,0
87,2010-09-26,26,0,0,-1,-1,2010,9,26,Sunday,0
88,2010-09-27,17,0,0,-1,-1,2010,9,27,Monday,0
89,2010-09-28,23,0,0,-1,-1,2010,9,28,Tuesday,0
90,2010-09-29,15,0,0,-1,-1,2010,9,29,Wednesday,0
91,2010-09-30,27,0,0,-1,-1,2010,9,30,Thursday,0
92,2010-10-01,24,0,0,-1,-1,2010,10,1,Friday,0
93,2010-10-02,18,0,0,-1,-1,2010,10,2,Saturday,0
94,2010-10-03,16,0,0,-1,-1,2010,10,3,Sunday,0
95,2010-10-04,10,0,0,-1,-1,2010,10,4,Monday,0
96,2010-10-05,13,0,0,-1,-1,2010,10,5,Tuesday,0
97,2010-10-06,3,0,0,-1,-1,2010,10,6,Wednesday,0
98,2010-10-07,7,0,0,-1,-1,2010,10,7,Thursday,0
99,2010-10-08,11,0,0,-1,-1,2010,10,8,Friday,0
100,2010-10-09,17,0,0,-1,-1,2010,10,9,Saturday,0
101,2010-10-10,18,0,0,-1,-1,2010,10,10,Sunday,0
102,2010-10-11,7,0,0,-1,-1,2010,10,11,Monday,1
103,2010-10-12,8,0,0,-1,-1,2010,10,12,Tuesday,0
104,2010-10-13,8,0,0,-1,-1,2010,10,13,Wednesday,0
105,2010-10-14,13,0,0,-1,-1,2010,10,14,Thursday,0
106,2010-10-15,9,0,0,-1,-1,2010,10,15,Friday,0
107,2010-10-16,17,0,0,-1,-1,2010,10,16,Saturday,0
108,2010-10-17,12,0,0,-1,-1,2010,10,17,Sunday,0
109,2010-10-18,11,0,0,-1,-1,2010,10,18,Monday,0
110,2010-10-19,6,0,0,-1,-1,2010,10,19,Tuesday,0
111,2010-10-20,12,0,0,-1,-1,2010,10,20,Wednesday,0
112,2010-10-21,3,0,0,-1,-1,2010,10,21,Thursday,0
113,2010-10-22,7,0,0,-1,-1,2010,10,22,Friday,0
114,2010-10-23,21,0,0,-1,-1,2010,10,23,Saturday,0
115,2010-10-24,20,0,0,-1,-1,2010,10,24,Sunday,0
116,2010-10-25,13,0,0,-1,-1,2010,10,25,Monday,0
117,2010-10-26,12,0,0,-1,-1,2010,10,26,Tuesday,0
118,2010-10-27,13,0,0,-1,-1,2010,10,27,Wednesday,0
119,2010-10-28,18,0,0,-1,-1,2010,10,28,Thursday,0
120,2010-10-29,26,0,0,-1,-1,2010,10,29,Friday,0
121,2010-10-30,29,0,0,-1,-1,2010,10,30,Saturday,0
122,2010-10-31,23,0,0,-1,-1,2010,10,31,Sunday,0
123,2010-11-01,16,0,0,-1,-1,2010,11,1,Monday,0
124,2010-11-02,12,0,0,-1,-1,2010,11,2,Tuesday,0
125,2010-11-03,15,0,0,-1,-1,2010,11,3,Wednesday,1
126,2010-11-04,11,0,0,-1,-1,2010,11,4,Thursday,0
127,2010-11-05,13,0,0,-1,-1,2010,11,5,Friday,0
128,2010-11-06,17,0,0,-1,-1,2010,11,6,Saturday,0
129,2010-11-07,13,0,0,-1,-1,2010,11,7,Sunday,0
130,2010-11-08,8,0,0,-1,-1,2010,11,8,Monday,0
131,2010-11-09,7,0,0,-1,-1,2010,11,9,Tuesday,0
132,2010-11-10,11,0,0,-1,-1,2010,11,10,Wednesday,0
133,2010-11-11,11,0,0,-1,-1,2010,11,11,Thursday,0
134,2010-11-12,15,0,0,-1,-1,2010,11,12,Friday,0
135,2010-11-13,16,0,0,-1,-1,2010,11,13,Saturday,0
136,2010-11-14,19,0,0,-1,-1,2010,11,14,Sunday,0
137,2010-11-15,21,0,0,-1,-1,2010,11,15,Monday,0
138,2010-11-16,14,0,0,-1,-1,2010,11,16,Tuesday,0
139,2010-11-17,11,0,0,-1,-1,2010,11,17,Wednesday,0
140,2010-11-18,9,0,0,-1,-1,2010,11,18,Thursday,0
141,2010-11-19,25,0,0,-1,-1,2010,11,19,Friday,0
142,2010-11-20,24,0,0,-1,-1,2010,11,20,Saturday,0
143,2010-11-21,22,0,0,-1,-1,2010,11,21,Sunday,0
144,2010-11-22,22,0,0,-1,-1,2010,11,22,Monday,0
145,2010-11-23,16,0,0,-1,-1,2010,11,23,Tuesday,1
